0x295dc8 uncompress
0x295dd0 pthread_getspecific
0x295dd8 strerror
0x295de0 memmove
0x295de8 snprintf
0x295df0 munmap
0x295df8 __errno
0x295e00 getpid
0x295e08 prctl
0x295e10 memcpy
0x295e18 __cxa_finalize
0x295e20 malloc
0x295e28 dladdr
0x295e30 lseek
0x295e38 mmap
0x295e40 abort
0x295e48 __stack_chk_fail
0x295e50 isxdigit
0x295e58 strtol
0x295e60 calloc
0x295e68 kill
0x295e70 dl_iterate_phdr
0x295e78 pthread_once
0x295e80 pthread_key_create
0x295e88 strstr
0x295e90 read
0x295e98 isupper
0x295ea0 dlopen
0x295ea8 strncpy
0x295eb0 __assert2
0x295eb8 realloc
0x295ec0 memcmp
0x295ec8 dlsym
0x295ed0 memset
0x295ed8 time
0x295ee0 strcmp
0x295ee8 pthread_mutex_unlock
0x295ef0 fputc
0x295ef8 pthread_mutex_lock
0x295f00 strlen
0x295f08 open
0x295f10 mprotect
0x295f18 close
0x295f20 vfprintf
0x295f28 pthread_setspecific
0x295f30 free
