idx name                       addr       offset       size flags
  0                    0x000000000 0x000000000         0 0x0
  1 .hash              0x000000190 0x000000190      4316 0x2
  2 .dynsym            0x000001270 0x000001270     13344 0x2
  3 .dynstr            0x000004690 0x000004690      8085 0x2
  4 .rela.dyn          0x000006628 0x000006628     40248 0x2
  5 .rela.plt          0x000010360 0x000010360      1104 0x42
  6 .plt               0x0000107b0 0x0000107b0       768 0x6
  7 .text              0x000010ab0 0x000010ab0    285420 0x6
  8 .main              0x00005659c 0x00005659c      9852 0x6
  9 .rodata            0x000058c20 0x000058c20   2233008 0x2
 10 .eh_frame_hdr      0x000279ed0 0x000279ed0      4428 0x2
 11 .eh_frame          0x00027b020 0x00027b020     19376 0x2
 12 .gcc_except_table  0x00027fbd0 0x00027fbd0      9724 0x2
 13 .init_array        0x000292780 0x000282780        16 0x3
 14 .fini_array        0x000292790 0x000282790        16 0x3
 15 .data.rel.ro       0x0002927a0 0x0002827a0     13328 0x3
 16 .dynamic           0x000295bb0 0x000285bb0       512 0x3
 17 .got               0x000295db0 0x000285db0       584 0x3
 18 .data              0x000296000 0x000286000   4052520 0x3
 19 .ced               0x000673628 0x000663628        32 0x3
 20 .bss               0x000673650 0x000663648   7656760 0x3
 21 .comment           0x000000000 0x000663648        56 0x30
 22 .shstrtab          0x000000000 0x000663680       191 0x0
